word,count
무단횡단,5587
다친,5574
나오면,5570
되게,5568
쓰면,5564
그거는,5561
보조,5554
된다는,5541
과실이,5538
찾아,5531
자동차가,5530
넓은,5529
경우가,5525
고맙습니다,5524
옆에서,5518
보자,5512
상대로,5493
식으로,5477
보험이,5471
차이가,5466
안에,5460
사람들이,5452
요즘,5426
빵빵,5421
뺑소니,5413
받은,5409
일반적으로,5401
모두,5399
얘기합니다,5397
애들이,5395
문제가,5387
훨씬,5384
어디서,5380
신호등이,5368
때까지,5353
쪽에서,5351
분심이,5345
끝까지,5324
보행자가,5323
안전,5323
없다는,5312
키로,5300
방법이,5298
됐을까요,5296
없어서,5290
주차,5283
죄송합니다,5280
달라,5274
다행히,5272
손해,5246
내려,5244
지난번에,5240
내려서,5201
나와요,5199
있겠죠,5185
가면서,5169
지나갈,5168
분이,5168
뒤를,5167
되고요,5157
가도,5151
하니까,5140
왜냐하면,5124
생각,5122
했죠,5122
그때는,5108
뭐예요,5107
신호에,5106
뒤차가,5104
이거요,5104
치료비,5098
멀리,5079
쓰고,5077
나왔어요,5058
재판,5056
건데요,5053
오토,5048
그죠,5032
만일,5027
정지,5015
됐습니다,5014
보세요,5009
아니면은,5006
역시,5000
지나가는,4999
나왔습니다,4995
여기서요,4992
자동,4982
없다고,4965
구요,4956
저앞에,4953
한데,4942
바퀴,4941
출발,4931
어때요,4929
중에서,4928
못하고,4923
드리겠습니다,4911
들어갑니다,4904
항소,4901
멈춘,4899
풀박,4899
상황이,4898
초기대,4897
나갈,4890
속도로,4879
되겠습니다,4876
돈을,4875
치고,4873
갔다,4871
했다,4870
요게,4869
받아야,4869
갖다,4863
예전에,4856
싫어,4852
나옵니다,4845
좀더,4844
같아요,4838
나와,4827
조심해서,4826
그러다가,4819
차들,4816
이것도,4814
있대요,4810
모르겠습니다,4809
합의,4803
우측,4796
바짝,4795
하죠,4791
인가요,4791
저희가,4786
왕복,4779
좁은,4778
같죠,4778
아아,4778
일어난,4776
돼야,4772
했는데요,4772
보호,4771
집에,4770
양쪽,4766
저걸,4765
상대편,4758
안전운전,4747
않는,4747
시로,4745
필요,4743
인정,4743
사람도,4733
그렇다면,4731
싶어서,4723
처음부터,4698
할까요,4695
운전자를,4687
회전,4687
않아,4683
아빠,4674
하잖아요,4673
몰라요,4669
옳지,4663
머리,4659
것이다,4656
만든,4653
들어가고,4650
했을,4650
뭘까요,4646
됩니다,4638
소송을,4636
돼서,4636
생각이,4623
될까요,4622
들어가서,4613
왜냐면,4603
되겠어요,4598
특약,4593
인도,4590
보지,4575
이분은,4574
들어와서,4564
따로,4563
오다가,4561
잘못했으니까,4555
가운데,4550
오오오,4545
후에,4543
있기,4540
질문,4540
옛날,4536
돌고,4536
검은,4524
의견은,4522
이처럼,4505
이분,4503
신호등,4494
것으로,4489
마지막에,4487
아파트,4485
생각해,4484
블랙,4475
안보여요,4473
하게,4473
이라,4471
면은,4458
나면,4450
승용차,4446
열심히,4439
곳에서,4437
비보,4432
써요,4431
들어왔어요,4429
있나,4427
해야죠,4421
니까,4411
되겠다,4395
급하게,4394
우리는,4386
조심해야,4382
모르니까,4379
초기,4378
건지,4373
알아서,4371
않으면,4364
저건,4362
걸까요,4362
이럴때,4356
아쉬움이,4355
보험에서,4353
생각을,4340
많습니다,4339
되죠,4336
말씀,4334
트럭에,4322
시작,4322
것처럼,4321
않을,4320
여기도,4319
같아,4310
텐데요,4306
플랜,4300
지나,4298
쉽지,4297
비켜,4295
여기를,4293
강아지,4285
건데,4283
저럴,4282
있겠지만,4271
들어간,4270
상황에서,4268
정상적으로,4263
조심,4261
경찰서,4261
쫓아,4260
어쩔,4254
등이,4250
에서는,4247
하시는,4246
대해서는,4245
벌써,4243
거고요,4238
운전자보험,4232
보이고,4223
왔다,4221
봤습니다,4219
피해자,4215
거잖아요,4214
실선,4214
가지고,4213
음주,4201
얘기가,4195
깜짝,4187
감사합니다,4179
먹고,4172
흰색,4167
보겠습니다,4166
지원해,4162
들고,4159
상대차가,4149
있다,4144
들어옵니다,4141
만들었습니다,4129
거리,4111
요건,4110
가려고,4107
만에,4106
현재,4105
바랍니다,4102
건너,4101
상품,4098
된다고,4093
없으니까,4092
조금만,4088
빠른,4087
신호도,4087
경찰에서는,4081
나와서,4074
눈이,4072
어린이가,4065
나가는,4059
물어,4045
것에,4045
아이가,4044
차요,4040
거다,4034
빠르지,4034
보이는데요,4033
지나서,4027
입니까,4025
받았어요,4022
멈추지,4018
당시,4007
사건은,4002
될지,3997
진단,3997
참나,3994
경찰관이,3993
있죠,3990
블박차도,3983
천은,3980
없어요,3974
그저,3973
직후,3967
도저히,3966
이유는,3955
뒤차,3954
않게,3952
되면은,3951
그러는데,3942
멈추는,3939
났어요,3939
차이,3937
그러,3935
체결전,3932
아니구요,3927
있었는데요,3922
가해자,3910
불이,3904
전화,3903
서고,3894
차선,3893
보험은,3891
빨라,3891
플러스,3889
새벽,3885
들어요,3885
자꾸,3884
상대차,3877
퍼센트,3876
길을,3876
지나가고,3857
걸고,3845
통해서,3844
물고,3843
하구요,3843
모피,3840
내고,3835
빠져,3829
하나요,3828
멈춰야,3826
청구,3824
지금도,3823
비싼,3822
저를,3818
차랑,3816
그렇다,3812
분께서,3801
가세요,3799
끌고,3799
모자,3798
좋습니다,3797
역주행,3793
돌아,3790
결국은,3787
쪽이,3787
손에,3784
아무도,3783
엄마,3781
월에,3780
멈췄어요,3772
가까이,3770
변호사가,3766
여러분의,3764
무제,3760
신고,3757
반광,3747
왼쪽으로,3742
틀어,3735
나왔을까요,3734
있잖아,3733
생각입니다,3731
어디로,3726
이어,3719
일을,3711
받는,3709
몇대,3709
설령,3706
외전,3704
민사,3703
